meaning,output_VSO,output_VOS,meaning_type
VERB_5 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_3 NONE_1 NONE_2 NONE_3,Verb_5 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_3 mk,Verb_5 Animate_3 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_3 NONE_1 NONE_2 NONE_3,Verb_6 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_3 mk,Verb_6 Animate_3 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE_1 NONE_2 NONE_3,Verb_1 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_1 Animate_4 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE_1 NONE_2 NONE_3,Verb_2 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_2 Animate_4 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE_1 NONE_2 NONE_3,Verb_3 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_3 Animate_4 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE_1 NONE_2 NONE_3,Verb_4 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_4 Animate_4 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_5 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE_1 NONE_2 NONE_3,Verb_5 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_5 Animate_4 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE_1 NONE_2 NONE_3,Verb_6 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_6 Animate_4 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE_1 NONE_2 NONE_3,Verb_1 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_1 Animate_5 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE_1 NONE_2 NONE_3,Verb_2 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_2 Animate_5 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE_1 NONE_2 NONE_3,Verb_3 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_3 Animate_5 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE_1 NONE_2 NONE_3,Verb_4 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_4 Animate_5 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_5 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE_1 NONE_2 NONE_3,Verb_5 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_5 Animate_5 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE_1 NONE_2 NONE_3,Verb_6 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_6 Animate_5 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_6 NONE_1 NONE_2 NONE_3,Verb_1 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_6 mk,Verb_1 Animate_6 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_6 NONE_1 NONE_2 NONE_3,Verb_2 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_6 mk,Verb_2 Animate_6 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_6 NONE_1 NONE_2 NONE_3,Verb_3 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_6 mk,Verb_3 Animate_6 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_6 NONE_1 NONE_2 NONE_3,Verb_4 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_6 mk,Verb_4 Animate_6 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_5 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_6 NONE_1 NONE_2 NONE_3,Verb_5 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_6 mk,Verb_5 Animate_6 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_6 NONE_1 NONE_2 NONE_3,Verb_6 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_6 mk,Verb_6 Animate_6 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_7 NONE_1 NONE_2 NONE_3,Verb_1 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_7 mk,Verb_1 Animate_7 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_7 NONE_1 NONE_2 NONE_3,Verb_2 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_7 mk,Verb_2 Animate_7 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_7 NONE_1 NONE_2 NONE_3,Verb_3 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_7 mk,Verb_3 Animate_7 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_7 NONE_1 NONE_2 NONE_3,Verb_4 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_7 mk,Verb_4 Animate_7 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_5 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_7 NONE_1 NONE_2 NONE_3,Verb_5 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_7 mk,Verb_5 Animate_7 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_7 NONE_1 NONE_2 NONE_3,Verb_6 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_7 mk,Verb_6 Animate_7 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_8 NONE_1 NONE_2 NONE_3,Verb_1 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_8 mk,Verb_1 Animate_8 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_8 NONE_1 NONE_2 NONE_3,Verb_2 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_8 mk,Verb_2 Animate_8 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_8 NONE_1 NONE_2 NONE_3,Verb_3 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_8 mk,Verb_3 Animate_8 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_8 NONE_1 NONE_2 NONE_3,Verb_4 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_8 mk,Verb_4 Animate_8 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_5 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_8 NONE_1 NONE_2 NONE_3,Verb_5 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_8 mk,Verb_5 Animate_8 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_8 NONE_1 NONE_2 NONE_3,Verb_6 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_8 mk,Verb_6 Animate_8 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_9 NONE_1 NONE_2 NONE_3,Verb_1 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_9 mk,Verb_1 Animate_9 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_9 NONE_1 NONE_2 NONE_3,Verb_2 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_9 mk,Verb_2 Animate_9 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_9 NONE_1 NONE_2 NONE_3,Verb_3 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_9 mk,Verb_3 Animate_9 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_9 NONE_1 NONE_2 NONE_3,Verb_4 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_9 mk,Verb_4 Animate_9 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_5 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_9 NONE_1 NONE_2 NONE_3,Verb_5 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_9 mk,Verb_5 Animate_9 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_1 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_9 NONE_1 NONE_2 NONE_3,Verb_6 Animate_1 Adposition_1 Adjective_1 Inanimate_1 Animate_9 mk,Verb_6 Animate_9 mk Animate_1 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_1 NONE_1 NONE_2 NONE_3,Verb_1 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_1 mk,Verb_1 Animate_1 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_1 NONE_1 NONE_2 NONE_3,Verb_2 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_1 mk,Verb_2 Animate_1 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_1 NONE_1 NONE_2 NONE_3,Verb_3 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_1 mk,Verb_3 Animate_1 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_1 NONE_1 NONE_2 NONE_3,Verb_4 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_1 mk,Verb_4 Animate_1 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_5 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_1 NONE_1 NONE_2 NONE_3,Verb_5 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_1 mk,Verb_5 Animate_1 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_1 NONE_1 NONE_2 NONE_3,Verb_6 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_1 mk,Verb_6 Animate_1 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_3 NONE_1 NONE_2 NONE_3,Verb_1 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_3 mk,Verb_1 Animate_3 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_3 NONE_1 NONE_2 NONE_3,Verb_2 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_3 mk,Verb_2 Animate_3 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_3 NONE_1 NONE_2 NONE_3,Verb_3 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_3 mk,Verb_3 Animate_3 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_3 NONE_1 NONE_2 NONE_3,Verb_4 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_3 mk,Verb_4 Animate_3 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_5 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_3 NONE_1 NONE_2 NONE_3,Verb_5 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_3 mk,Verb_5 Animate_3 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_3 NONE_1 NONE_2 NONE_3,Verb_6 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_3 mk,Verb_6 Animate_3 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE_1 NONE_2 NONE_3,Verb_1 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_1 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE_1 NONE_2 NONE_3,Verb_2 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_2 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE_1 NONE_2 NONE_3,Verb_3 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_3 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE_1 NONE_2 NONE_3,Verb_4 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_4 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_5 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE_1 NONE_2 NONE_3,Verb_5 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_5 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_4 NONE_1 NONE_2 NONE_3,Verb_6 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_4 mk,Verb_6 Animate_4 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE_1 NONE_2 NONE_3,Verb_1 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_1 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE_1 NONE_2 NONE_3,Verb_2 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_2 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE_1 NONE_2 NONE_3,Verb_3 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_3 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE_1 NONE_2 NONE_3,Verb_4 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_4 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_5 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE_1 NONE_2 NONE_3,Verb_5 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_5 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_5 NONE_1 NONE_2 NONE_3,Verb_6 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_5 mk,Verb_6 Animate_5 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_6 NONE_1 NONE_2 NONE_3,Verb_1 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_6 mk,Verb_1 Animate_6 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_6 NONE_1 NONE_2 NONE_3,Verb_2 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_6 mk,Verb_2 Animate_6 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_6 NONE_1 NONE_2 NONE_3,Verb_3 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_6 mk,Verb_3 Animate_6 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_6 NONE_1 NONE_2 NONE_3,Verb_4 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_6 mk,Verb_4 Animate_6 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_5 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_6 NONE_1 NONE_2 NONE_3,Verb_5 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_6 mk,Verb_5 Animate_6 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_6 NONE_1 NONE_2 NONE_3,Verb_6 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_6 mk,Verb_6 Animate_6 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_1 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_7 NONE_1 NONE_2 NONE_3,Verb_1 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_7 mk,Verb_1 Animate_7 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_2 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_7 NONE_1 NONE_2 NONE_3,Verb_2 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_7 mk,Verb_2 Animate_7 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_3 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_7 NONE_1 NONE_2 NONE_3,Verb_3 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_7 mk,Verb_3 Animate_7 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_4 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_7 NONE_1 NONE_2 NONE_3,Verb_4 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_7 mk,Verb_4 Animate_7 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_5 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_7 NONE_1 NONE_2 NONE_3,Verb_5 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_7 mk,Verb_5 Animate_7 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
VERB_6 ANIMATE_2 ADPOSITION_1 ADJECTIVE_1 INANIMATE_1 ANIMATE_7 NONE_1 NONE_2 NONE_3,Verb_6 Animate_2 Adposition_1 Adjective_1 Inanimate_1 Animate_7 mk,Verb_6 Animate_7 mk Animate_2 Adposition_1 Adjective_1 Inanimate_1,initial_subject_modified
